id,label,id_prop_instance_of,id_prop_publication_type,id_prop_author,id_prop_editor,id_prop_publisher,id_prop_place_of_publication,id_prop_series,id_prop_pages,id_prop_title,id_prop_issue,id_prop_volume,id_prop_publication_date,id_prop_reference_URL,id_prop_keyword,id_prop_journal,id_prop_conference
id_work_5213,"Emulating atmosphere-ocean and carbon cycle models with a simpler model, MAGICC6 - Part 2: Applications",id_base_work,id_type_isi_article,id_creator_34777;id_creator_33829;id_creator_18217,,,,,1457-1471,,4,11,2011,,,id_journal_637,
id_work_5214,"Emulating coupled atmosphere-ocean and carbon cycle models with a simpler model, MAGICC6 - Part 1: Model description and calibration",id_base_work,id_type_isi_article,id_creator_34777;id_creator_18217;id_creator_33829,,,,,1417-1456,,4,11,2011,,,id_journal_637,
id_work_5215,Global warming under old and new scenarios using IPCC climate sensitivity range estimates,id_base_work,id_type_isi_article,id_creator_40333;id_creator_34777;id_creator_36485,,,,,248-253,,4,2,2012,,,id_journal_716,
id_work_5216,Estimating the near-surface permafrost-carbon feedback on global warming,id_base_work,id_type_isi_article,id_creator_25970;id_creator_34777;id_creator_36366;id_creator_40045;id_creator_36535;id_creator_18227;id_creator_35312,,,,,649-665,,2,9,2012,,,id_journal_375,
id_work_5217,The representative concentration pathways: an overview,id_base_work,id_type_isi_article,id_creator_29552;id_creator_36896;id_creator_29586;id_creator_42109;id_creator_18233;id_creator_18234;id_creator_34680;id_creator_41544;id_creator_36967;id_creator_18238;id_creator_30043;id_creator_34777;id_creator_42108;id_creator_30656;id_creator_23469,,,,,5-31,,1-2,109,2011,,,id_journal_15,
id_work_5218,Key role of time-delay and connection topology in shaping the dynamics of noisy genetic regulatory networks,id_base_work,id_type_isi_article,id_creator_26142;id_creator_31700;id_creator_18246;id_creator_41659,,,,,,,047522,21,2011,,,id_journal_543,
id_work_5219,Synchronization of multi-frequency noise-induced oscillations,id_base_work,id_type_isi_article,id_creator_30918;id_creator_18249;id_creator_18579;id_creator_41659,,,,,,,047513,21,2011,,,id_journal_543,
id_work_5220,Introduction to focus issue: Nonlinear and Stochastic Physics in Biology,id_base_work,id_type_isi_article,id_creator_18252;id_creator_18253;id_creator_18254;id_creator_41659;id_creator_30756;id_creator_18257,,,,,,,047501,21,2011,,,id_journal_543,
id_work_5221,Sea-level rise impacts on Africa and the effects of mitigation and adaptation: an application of DIVA,id_base_work,id_type_isi_article,id_creator_33661;id_creator_25527;id_creator_18260;id_creator_37969;id_creator_23906;id_creator_18263,,,,,207-224,,1,12,2012,,,id_journal_293,
id_work_5222,Climate Impacts: From Numbers to Stories,id_base_work,id_type_article_in_book,id_creator_33661,id_creator_40703;id_creator_40704;id_creator_40705;id_creator_40706;id_creator_40707,id_publisher_122,id_place_48,,35-53,Reframing the Problem of Climate Change,,,2012,,,,
id_work_5223,Local Climate Policy and the Role of the Citizen – The Case of Potsdam (Germany),id_base_work,id_type_article_in_report,id_creator_41486;id_creator_20866,,id_publisher_756,id_place_8,,68-75,Public Participation in Urban Climate Protection,,,2011,,,,
id_work_5224,Urban road networks - spatial networks with universal geometric features? A case study on Germany's largest cities,id_base_work,id_type_isi_article,id_creator_18267;id_creator_36846;id_creator_18269,,,,,563-577,,4,84,2011,,,id_journal_599,
