id,label,id_prop_instance_of
id_creator_241,"Charbit, S.",id_base_author
id_creator_242,"van de Wal, R.S.W.",id_base_author
id_creator_243,"Cramer, W.P.",id_base_author
id_creator_244,"Bousquet, P.",id_base_author
id_creator_245,"Ribeiro, A.",id_base_author
id_creator_10231,"Field, C.B.",id_base_author;id_base_editor
id_creator_247,"Schnyder, H.",id_base_author
id_creator_248,"Schwindenhammer, S.",id_base_author
id_creator_249,"Allen, L.",id_base_author
id_creator_250,"Mohr, J.",id_base_author
id_creator_251,"Schimming, R.",id_base_author
id_creator_252,"Krapp, M.",id_base_author
id_creator_253,"Barbeau, G.",id_base_author
id_creator_254,"Jackson, C.",id_base_author
id_creator_255,"Schaepman-Strub, G.",id_base_author
id_creator_256,"Emmett, B.",id_base_author
id_creator_257,"Schneider, S.",id_base_author
id_creator_258,"Shin, J.",id_base_author
id_creator_259,"Kutzbach, J.E.",id_base_author
id_creator_260,"Messner, S.",id_base_author
id_creator_10246,"Hasselmann, K.",id_base_author;id_base_editor
id_creator_262,"Rock, J.",id_base_author
id_creator_263,"Bett, H.",id_base_author
id_creator_264,"Frame, D.J.",id_base_author
id_creator_265,"Schäfer, A.",id_base_author
id_creator_266,"Frasca, M.",id_base_author
id_creator_267,"Jusup, M.",id_base_author
id_creator_268,"Prestele, R.",id_base_author
id_creator_269,"Trindade, S.",id_base_author
id_creator_270,"Zimmermann, A.",id_base_author
id_creator_271,"Deprés, J.",id_base_author
id_creator_272,"Mischke, S.",id_base_author
id_creator_273,"Pisaric, M.F.J.",id_base_author
id_creator_274,"Linnerooth-Bayer, C.",id_base_author
id_creator_275,"Julius, C.",id_base_author
id_creator_276,"Häyhä, T.",id_base_author
id_creator_277,"Räisänen, J.",id_base_author
id_creator_278,"Schuler, J.",id_base_author
id_creator_279,"Tang, L.",id_base_author
id_creator_280,"Walsh, M.",id_base_author
id_creator_281,"Theisel, H.",id_base_author
id_creator_282,"Broeg, C.",id_base_author
id_creator_283,"Buitefeld, H.",id_base_author
id_creator_284,"Angelsen, A.",id_base_author
id_creator_285,"Eder, A.",id_base_author
id_creator_286,"Moreira, F.",id_base_author
id_creator_287,"Drijfhout, S.",id_base_author
id_creator_288,"Izaurralde, R.C.",id_base_author
id_creator_289,"Laurans, Y.",id_base_author
id_creator_290,"Becker, C.",id_base_author
id_creator_291,"Hubacek, K.",id_base_author
id_creator_292,"Davis, S.J.",id_base_author
id_creator_293,"Mackinson, S.",id_base_author
id_creator_294,"Sproesser, G.",id_base_author
id_creator_295,"Havemann, A.",id_base_author
id_creator_296,"Diaz-Guilera, A.",id_base_author
id_creator_297,"Ragwitz, M.",id_base_author
id_creator_298,"Fick, J.",id_base_author
id_creator_299,"Knie, A.",id_base_author
id_creator_300,"Woodcock, C.E.",id_base_author
id_creator_301,"Krug, J.",id_base_author
id_creator_302,"Caldez, N.",id_base_author
id_creator_303,"Frölicher, T.L.",id_base_author
id_creator_304,"Shekatkar, S.M.",id_base_author
id_creator_305,"Gupta, H.",id_base_author
id_creator_306,"Warrick, R.",id_base_author
id_creator_307,"Neff, R.",id_base_author
id_creator_308,"Linsenmair, K.E.",id_base_author
id_creator_309,"Kergoat, L.D.",id_base_author
id_creator_310,"Valin, H.",id_base_author
id_creator_311,"Pyanet, A.",id_base_author
id_creator_312,"Carvalhais, N.",id_base_author
id_creator_313,"Schauser, I.",id_base_author
id_creator_314,"Moreno, A.R.",id_base_author
id_creator_315,"Capon, R.",id_base_author
id_creator_316,"Daggupati, P.",id_base_author
id_creator_317,"van der Zwaan, B.",id_base_author
id_creator_318,"Williams, M.",id_base_author
id_creator_319,"Bai, X.",id_base_author
id_creator_320,"Finke, W.",id_base_author
id_creator_321,"Ashok, B.",id_base_author
id_creator_322,"Lin, Z.",id_base_author
id_creator_323,"Matear, R.J.",id_base_author
id_creator_324,"Ostrom, E.",id_base_author
id_creator_325,"Kebede, T.",id_base_author
id_creator_326,"Cordova, C.",id_base_author
id_creator_327,"Günther, S.",id_base_author
id_creator_328,"Majda, A.J.",id_base_author
id_creator_329,"Wolf, S.",id_base_author
id_creator_330,"Loustau, D.",id_base_author
id_creator_331,"Price, A.",id_base_author
id_creator_332,"Spangenberg, J.H.",id_base_author
id_creator_333,"Granit, J.",id_base_author
id_creator_334,"Dähn, A.",id_base_author
id_creator_335,"Robinson, M.",id_base_author
id_creator_336,"Pan, H.",id_base_author
id_creator_337,"Elsenbeer, H.",id_base_author
id_creator_338,"Mäeklä, A.",id_base_author
id_creator_339,"Linkov, I.",id_base_author
id_creator_340,"Rachimow, C.",id_base_author
id_creator_341,"Jagdhuber, T.",id_base_author
id_creator_10317,"Hilderink, H.",id_base_author;id_base_editor
id_creator_10318,"Edenhofer, O.",id_base_author;id_base_editor
id_creator_344,"Diepenbrock, W.",id_base_author
id_creator_345,"Schwägerl, C.",id_base_author
id_creator_346,"Gomes, S.",id_base_author
id_creator_347,"Wong, M.H.",id_base_author
id_creator_348,"Thürig, E.",id_base_author
id_creator_349,"Felsinger, P.",id_base_author
id_creator_350,"Holmgren, M.",id_base_author
id_creator_351,"de Pater, I.",id_base_author
id_creator_352,"Beerling, D.J.",id_base_author
id_creator_353,"Mooney, H.A.",id_base_author
id_creator_354,"Oppermann, R.",id_base_author
id_creator_355,"Ammann, C.",id_base_author
id_creator_356,"Mitchell, D.",id_base_author
id_creator_357,"Jorritsma, I.T.M.",id_base_author
id_creator_358,"Galton-Fenzi, B.K.",id_base_author
id_creator_359,"Sherwood, S.",id_base_author
id_creator_360,"Broome, J.",id_base_author
id_creator_361,"Schadauer, K.",id_base_author
id_creator_362,"Kohar, V.",id_base_author
id_creator_363,"Chenoweth, J.L.",id_base_author
id_creator_364,"Franke, J.G.",id_base_author
id_creator_365,"Paugam, R.",id_base_author
id_creator_366,"Krol, M.S.",id_base_author
id_creator_10334,"Birkmann, J.",id_base_author;id_base_editor
id_creator_368,"Gain, A.K.",id_base_author
id_creator_369,"Abarbanel, H.D.I.",id_base_author
id_creator_370,"Brookes, P.",id_base_author
id_creator_371,"Tekken, V.",id_base_author
id_creator_372,"Alcamo, J.",id_base_author
id_creator_10340,"Houghton, R.A.",id_base_author;id_base_editor
id_creator_374,"Gaffney, O.",id_base_author
id_creator_375,"Joyce, L.A.",id_base_author
id_creator_376,"Reinke, M.",id_base_author
id_creator_377,"Hoeppe, P.",id_base_author
id_creator_378,"Hendy, E.",id_base_author
id_creator_379,"Malinowski, A.",id_base_author
id_creator_10345,"Serbser, W.",id_base_author;id_base_editor
id_creator_381,"Schulp, C.J.E.",id_base_author
id_creator_382,"Méjean, A.",id_base_author
id_creator_383,"Mazzucotelli, E.",id_base_author
id_creator_384,"Bitter, A.W.",id_base_author
id_creator_385,"Ono, Y.",id_base_author
id_creator_386,"Roy, T.",id_base_author
id_creator_387,"Felgentreff, C.",id_base_author
id_creator_388,"Coudrain, A.",id_base_author
id_creator_389,"Schrag, D.P.",id_base_author
id_creator_390,"Brocca, L.",id_base_author
id_creator_391,"Brinckmann, E.",id_base_author
id_creator_392,"Bauernschmitt, N.",id_base_author
id_creator_393,"Moreno, P.I.",id_base_author
id_creator_394,"Hof, A.",id_base_author
id_creator_395,"Kane, R.",id_base_author
id_creator_396,"Casas-Miranda, R.",id_base_author
id_creator_397,"Kertész, J.",id_base_author
id_creator_398,"Tavill, G.",id_base_author
id_creator_399,"Socha, J.",id_base_author
id_creator_400,"Knoche, R.",id_base_author
id_creator_401,"Endepols, S.",id_base_author
id_creator_10362,"Patt, A.G.",id_base_author;id_base_editor
id_creator_403,"Zerroukat, M.",id_base_author
id_creator_404,"Döbbeler, H.",id_base_author
id_creator_405,"Nedelec, P.",id_base_author
id_creator_406,"Maslin, M.A.",id_base_author
id_creator_407,"Wechsung, M.",id_base_author
id_creator_408,"Cornejo-Tenorio, G.",id_base_author
id_creator_409,"Moore, B.I.",id_base_author
id_creator_410,"Kretschmer, B.",id_base_author
id_creator_10371,"Parrott, L.",id_base_author;id_base_editor
id_creator_412,"Riccardi, M.",id_base_author
id_creator_413,"Erdmann, G.",id_base_author
id_creator_414,"Zlatanov, T.",id_base_author
id_creator_415,"Mu, D.",id_base_author
id_creator_416,"Sari Kovats, R.",id_base_author
id_creator_417,"Förster, S.",id_base_author
id_creator_418,"Moschella, P.S.",id_base_author
id_creator_419,"Petoukhov, R.V.",id_base_author
id_creator_420,"McDermott, J.",id_base_author
id_creator_421,"Shindell, D.T.",id_base_author
id_creator_422,"Szogs, S.",id_base_author
id_creator_10375,"Venohr, M.",id_base_author;id_base_editor
id_creator_424,"Heil Costa, M.",id_base_author
id_creator_425,"Herzig, A.",id_base_author
id_creator_426,"Somogyi, Z.",id_base_author
id_creator_427,"Willenbockel, D.",id_base_author
id_creator_428,"Cimatoribus, A.A.",id_base_author
id_creator_429,"Trabold, H.",id_base_author
id_creator_430,"Lessire, F.",id_base_author
id_creator_431,"Boysen, L.R.",id_base_author
id_creator_432,"Pagiola, S.",id_base_author
id_creator_433,"Panov, V.E.",id_base_author
id_creator_434,"Balasis, G.",id_base_author
id_creator_435,"Delmonaco, G.",id_base_author
id_creator_436,"Groengroeft, A.",id_base_author
id_creator_437,"Aquino, V.V.",id_base_author
id_creator_438,"Kuramochi, T.",id_base_author
id_creator_439,"Barnosky, A.",id_base_author
id_creator_440,"Chum, H.",id_base_author
id_creator_441,"Hauser, S.",id_base_author
id_creator_442,"Tulaczyk, S.",id_base_author
id_creator_443,"Coe, I.",id_base_author
id_creator_444,"Richards, K.",id_base_author
id_creator_445,"Pokhrel, Y.N.",id_base_author
id_creator_446,"Jongschapp, R.E.E.",id_base_author
id_creator_447,"Feng, G.",id_base_author
id_creator_448,"Laudan, J.",id_base_author
id_creator_449,"Gnter, C.",id_base_author
id_creator_450,"Ebert, F.",id_base_author
id_creator_451,"Bordi, I.",id_base_author
id_creator_452,"Lampe, M.v.",id_base_author
id_creator_453,"Schloss, A.",id_base_author
id_creator_454,"Hall, S.",id_base_author
id_creator_455,"Leggewie, C.",id_base_author
id_creator_456,"Pugh, T.A.M.",id_base_author
id_creator_457,"Olsson, L.",id_base_author
id_creator_458,"Mcevoy, D.",id_base_author
id_creator_459,"Vitasse, Y.",id_base_author
id_creator_10402,"Wenzel, V.",id_base_author;id_base_editor
id_creator_461,"Soares-Filho, B.S.",id_base_author
id_creator_462,"Kelman, I.",id_base_author
id_creator_463,"Kawa, S.R.",id_base_author
id_creator_464,"Gingrich, S.",id_base_author
id_creator_465,"Nordli, Ø.",id_base_author
id_creator_466,"Marzeion, B.",id_base_author
id_creator_467,"McGlade, C.",id_base_author
id_creator_468,"Erhard, M.",id_base_author
id_creator_469,"Stubbe, M.",id_base_author
id_creator_470,"Isensee, A.",id_base_author
id_creator_471,"Frieler, K.",id_base_author
id_creator_472,"Busch, P.O.",id_base_author
id_creator_473,"Swartenbroekx, P.",id_base_author
id_creator_474,"Bezerra, J.",id_base_author
id_creator_475,"Afshar, A.",id_base_author
id_creator_10420,"Keppo, I.",id_base_author;id_base_editor
id_creator_477,"Le Masson, V.",id_base_author
id_creator_478,"Shirokov, A.",id_base_author
id_creator_479,"David, A.",id_base_author
id_creator_480,"Ho, V.C.",id_base_author
id_creator_481,"Gruber, A.",id_base_author
id_creator_482,"Boehmer-Christiansen, S.",id_base_author
id_creator_483,"Ketzmerick, R.",id_base_author
id_creator_484,"Menon, A.",id_base_author
id_creator_485,"Holzhausen, M.",id_base_author
id_creator_486,"Scheifhacken, N.",id_base_author
id_creator_487,"Lavorel, S.",id_base_author
id_creator_10427,"Goldammer, J.G.",id_base_author;id_base_editor
id_creator_489,"Peña, N.",id_base_author
id_creator_490,"He, L.",id_base_author
id_creator_491,"Peng, H.",id_base_author
id_creator_492,"Dransch, D.",id_base_author
id_creator_493,"Rosler, H.",id_base_author
id_creator_494,"Merrick, J.",id_base_author
id_creator_495,"Martin, P.",id_base_author
id_creator_496,"Otto-Bliesner, B.I.",id_base_author
id_creator_497,"De Maere, G.",id_base_author
id_creator_498,"Woodward, F.I.B.",id_base_author
id_creator_499,"Köhn-Reich, L.",id_base_author
id_creator_500,"Screen, J.",id_base_author
id_creator_501,"Vermeer, M.",id_base_author
id_creator_502,"Seneviratne, S.I.",id_base_author
id_creator_503,"Matteucci, G.",id_base_author
id_creator_504,"Bigelow, N.H.",id_base_author
id_creator_505,"McGrath, S.P.",id_base_author
id_creator_506,"Taylor, D.",id_base_author
id_creator_507,"Bachner, S.",id_base_author
id_creator_508,"Marinova, N.",id_base_author
id_creator_509,"Honda, Y.",id_base_author
id_creator_510,"Ménot, G.",id_base_author
id_creator_511,"Jolly, W.M.",id_base_author
id_creator_512,"Fransen, T.",id_base_author
id_creator_513,"Zimm, C.",id_base_author
id_creator_514,"Schmidt, H.",id_base_author
id_creator_515,"Aguilar, E.",id_base_author
id_creator_516,"Sparrow, S.",id_base_author
id_creator_517,"Peña-Claros, M.",id_base_author
id_creator_518,"Crisologo, I.",id_base_author
id_creator_519,"Mair, S.",id_base_author
id_creator_520,"Asrat, A.",id_base_author
id_creator_521,"Forti, G.",id_base_author
id_creator_522,"Grossmann, S.",id_base_author
id_creator_523,"Prowse, T.",id_base_author
id_creator_524,"Friedrichsen, N.",id_base_author
id_creator_525,"Diaz, S.",id_base_author
id_creator_10446,"Sutton, M.A.",id_base_author;id_base_editor
id_creator_527,"Berkenbosch, A.C.",id_base_author
id_creator_528,"Hector, H.",id_base_author
id_creator_529,"Tietjen, B.",id_base_author
id_creator_530,"Sing, L.",id_base_author
id_creator_531,"Fytterer, T.",id_base_author
id_creator_532,"Bergner, A.",id_base_author
id_creator_533,"Shukla, P.",id_base_author
id_creator_534,"Rotkirch, A.",id_base_author
id_creator_535,"Fröhlich, A.",id_base_author
id_creator_536,"Lin, E.",id_base_author
id_creator_537,"LaMorte, R.",id_base_author
id_creator_538,"Srnec, L.",id_base_author
id_creator_539,"Eglinton, G.",id_base_author
id_creator_540,"Fichter, T.",id_base_author
id_creator_541,"Vellinga, T.",id_base_author
id_creator_542,"Panikov, N.",id_base_author
id_creator_543,"Hall, J.",id_base_author
id_creator_544,"Jun, X.",id_base_author
id_creator_545,"Xing, X.",id_base_author
id_creator_546,"Takoutsing, E.",id_base_author
id_creator_547,"Haxeltine, A.",id_base_author
id_creator_548,"Zou, W.",id_base_author
id_creator_549,"Moreno, P.G.",id_base_author
id_creator_550,"Lade, S.J.",id_base_author
id_creator_551,"Langer, G.",id_base_author
id_creator_552,"Steduto, P.",id_base_author
id_creator_553,"Chan, C.",id_base_author
id_creator_10478,"Tóth, F.L.",id_base_author;id_base_editor
id_creator_555,"Jackson, R.B.",id_base_author
id_creator_556,"Poldas, B.",id_base_author
id_creator_557,"Moberg, A.",id_base_author
id_creator_558,"Rixen, C.",id_base_author
id_creator_559,"Knoblauch, S.",id_base_author
id_creator_560,"Wada, K.",id_base_author
id_creator_561,"Figueres, C.",id_base_author
id_creator_562,"Christl, M.",id_base_author
id_creator_563,"Pulhin, F.",id_base_author
id_creator_564,"Franzen, I.",id_base_author
id_creator_565,"Xoplaki, E.",id_base_author
id_creator_566,"Jaing, Y.",id_base_author
id_creator_567,"Horstmann, B.",id_base_author
id_creator_568,"Vaclavik, T.",id_base_author
id_creator_569,"Pavlova, O.N.",id_base_author
id_creator_570,"Reis Lara, A.",id_base_author
id_creator_571,"Lu, Z.",id_base_author
id_creator_572,"Turney, C.",id_base_author
id_creator_573,"Knieling, J.",id_base_author
id_creator_574,"Luyssaert, S.",id_base_author
id_creator_575,"Ji, D.",id_base_author
id_creator_576,"Garcia-Alaniz, N.",id_base_author
id_creator_577,"Weitere, M.",id_base_author
id_creator_578,"Koutsias, N.",id_base_author
id_creator_579,"Ehrcke, R.",id_base_author
id_creator_580,"Zhang, Y.",id_base_author
id_creator_581,"Hassan, M.",id_base_author
id_creator_582,"Daigolou, V.",id_base_author
id_creator_583,"Ngo, H.T.",id_base_author
id_creator_584,"Souza, W.M.d.",id_base_author
id_creator_585,"Faranda, D.",id_base_author
id_creator_10521,"Navarra, A.",id_base_author;id_base_editor
id_creator_587,"Cescatti, A.",id_base_author
id_creator_10523,"Gerstengarbe, F.W.",id_base_author;id_base_editor
id_creator_589,"Eggers, J.",id_base_author
id_creator_590,"Gaitan, B.",id_base_author
id_creator_591,"Aerts, J.C.J.H.",id_base_author
id_creator_592,"Shaffer, G.",id_base_author
id_creator_593,"Balkanski, Y.",id_base_author
id_creator_594,"Köhl, M.",id_base_author
id_creator_595,"Freise, J.",id_base_author
