id,label,id_prop_instance_of,id_prop_author,id_prop_editor,id_prop_publisher,id_prop_place_of_publication,id_prop_part_of_the_series,id_prop_number_of_pages,id_prop_publication_date,id_prop_main_subject,id_prop_published_in,id_prop_issue,id_prop_volume
id_work_5156,Characterizing the complexity of brain and mind networks,id_base_article,id_creator_5177;id_creator_6986;id_creator_9715;id_creator_3256;id_creator_11047,,,,,3730-3747,2011,,id_journal_278,1952,369
id_work_5157,Synthetic multicellular oscillatory systems: controlling protein dynamics with genetic circuits,id_base_article,id_creator_5072;id_creator_333;id_creator_11047,,,,,,2011,,id_journal_729,045007,84
id_work_5158,A two-parameter stochastic process for Dansgaard-Oeschger events,id_base_article,id_creator_8977;id_creator_1855;id_creator_11047;id_creator_3088,,,,,,2011,,id_journal_289,PA3214,26
id_work_5159,An electronic analog of synthetic genetic networks,id_base_article,id_creator_7637;id_creator_333;id_creator_11047;id_creator_954,,,,,,2011,,id_journal_699,e23286,6
id_work_5160,Statistical characteristics of the Poincaré return times for a one-dimensional nonhyperbolic map,id_base_article,id_creator_2101;id_creator_6749;id_creator_5767;id_creator_11047,,,,,219-225,2011,,id_journal_694,3-4,82
id_work_5161,"Preserved autonomic regulation in patients undergoing transcatheter aortic valve implantation (TAVI) - a prospective, comparative study",id_base_article,id_creator_1993;id_creator_11011;id_creator_3440;id_creator_5560;id_creator_10452;id_creator_8533;id_creator_11047;id_creator_8011;id_creator_2274,,,,,185-193,2011,,id_journal_730,4,56
id_work_5162,Cardiovascular regulation in different sleep stages in the obstructive sleep apnea syndrome,id_base_article,id_creator_5560;id_creator_3440;id_creator_7200;id_creator_4044;id_creator_8011;id_creator_10452;id_creator_11047;id_creator_10163;id_creator_11011,,,,,207-213,2011,,id_journal_730,4,56
id_work_5163,Distributed higher order consensus protocols in multiagent dynamical systems,id_base_article,id_creator_579;id_creator_3019;id_creator_4462;id_creator_11047;id_creator_4070,,,,,1924-1932,2011,,id_journal_731,8,58
id_work_5164,Modeling and parameter estimation of tuberculosis with application to Cameroon,id_base_article,id_creator_8274;id_creator_11047,,,,,1999-2015,2011,,id_journal_300,7,21
id_work_5165,Spatiotemporal dynamics of the Calvin cycle: Multistationarity and symmetry breaking instabilities,id_base_article,id_creator_786;id_creator_6489;id_creator_5072;id_creator_11047;id_creator_5943;id_creator_8800,,,,,212-223,2011,,id_journal_732,2,103
id_work_5166,Methodology and indicators of economy-wide material flow accounting,id_base_article,id_creator_11840;id_creator_10940;id_creator_7507;id_creator_1111;id_creator_4707;id_creator_11384;id_creator_8504;id_creator_3310;id_creator_8536;id_creator_5983,,,,,855-876,2011,,id_journal_448,6,15
id_work_5167,The probability of the improbable: society - nature coevolution,id_base_article,id_creator_5983,,,,,325-336,2011,,id_journal_733,4,93
id_work_5168,Society - nature coevolution: interdisciplinary concept for sustainability,id_base_article,id_creator_5983;id_creator_308,,,,,281-287,2011,,id_journal_733,4,93
id_work_5169,To bloom or not to bloom: contrasting responses of cyanobacteria to recent heat waves explained by critical thresholds of abiotic drivers,id_base_article,id_creator_11877;id_creator_5511;id_creator_10436;id_creator_2857,,,,,245-256,2012,,id_journal_262,1,169
id_work_5170,Unvernünftige Zweifler,id_base_newspaper,id_creator_11769;id_creator_2679,,,,,,2011,,id_journal_308,,
id_work_5171,Kooperation 2.0,id_base_epub,id_creator_9440,,id_publisher_585,id_place_21,id_series_605,,2011,,,,
id_work_5172,Biosignal 2010: Advanced Technologies in Intensive Care and Sleep Medicine,id_base_edbook,,id_creator_11011;id_creator_11047;id_creator_10452;id_creator_10163,id_publisher_610,id_place_48,id_series_606,1715-1884,2011,,,,
id_work_5173,Religion in Environmental and Climate Change,id_base_edbook,,id_creator_10436;id_creator_11561,id_publisher_611,id_place_48,,,2011,,,,
id_work_5174,Facing the Human Faces of Climate Change,id_base_chapter,id_creator_10436;id_creator_11561,id_creator_10436;id_creator_11561,id_publisher_611,id_place_48,,3-15,2011,,,,
id_work_5175,Global Change and the Need for New Cosmologies,id_base_chapter,id_creator_4694,id_creator_10436;id_creator_11561,id_publisher_611,id_place_48,,16-31,2011,,,,
id_work_5176,About the influence of elevation model quality and small-scale damage functions on flood damage estimation,id_base_article,id_creator_3135;id_creator_10106;id_creator_2145;id_creator_610;id_creator_1248;id_creator_8542,,,,,3327-3334,2011,,id_journal_326,12,11
id_work_5177,"City Systems, their Growth and Sustainability:  An Urban Biogeochemistry Approach",id_base_inreport,id_creator_11521;id_creator_5853;id_creator_1420,id_creator_11326;id_creator_11226,id_publisher_612,id_place_401,id_series_607,15-19,2011,,,,
id_work_5178,"Estimation of thermodynamic parameters of the biosphere, based on remote sensing",id_base_article,id_creator_5853;id_creator_1420;id_creator_11521,,,,,2913-2923,2011,,id_journal_15,16,222
id_work_5179,"Simulation of salinity effects on past, present and future soil organic carbon stocks",id_base_article,id_creator_1282;id_creator_4553;id_creator_8199;id_creator_600;id_creator_5574;id_creator_5582;id_creator_1049;id_creator_1808,,,,,1624-1631,2012,,id_journal_577,3,46
id_work_5180,Forest restitution and protected area effectiveness in post-socialist Romania.,id_base_article,id_creator_3636;id_creator_2035;id_creator_9561;id_creator_5792;id_creator_6961;id_creator_7626;id_creator_8754;id_creator_9012;id_creator_5175;id_creator_8371,,,,,204-212,2012,,id_journal_395,1,146
id_work_5181,Consequences of nuclear accidents for biodiversity and ecosystem services,id_base_article,id_creator_8350;id_creator_5172;id_creator_157;id_creator_5749;id_creator_305;id_creator_2035;id_creator_4424;id_creator_4839;id_creator_8371,,,,,81-89,2012,,id_journal_655,2,5
id_work_5182,Using annual time-series of Landsat images to assess the effects of forest restitution in post-socialist Romania,id_base_article,id_creator_9012;id_creator_2035;id_creator_1673;id_creator_1708;id_creator_3636;id_creator_8371,,,,,199-214,2012,,id_journal_84,1,118
id_work_5184,"Prices, land tenure institutions, and geography: a matching analysis of farmland abandonment in Post-Socialist Eastern Europe",id_base_article,id_creator_658;id_creator_2035;id_creator_9561,,,,,425-443,2012,,id_journal_734,3,88
id_work_5185,Reconstructing range dynamics and range fragmentation of European bison for the last 8000 years,id_base_article,id_creator_2035;id_creator_9518;id_creator_8525;id_creator_2859;id_creator_9561,,,,,47-59,2012,,id_journal_735,1,18
id_work_5186,Comparison and assessment of coarse resolution land cover maps for Northern Eurasia,id_base_article,id_creator_796;id_creator_8857;id_creator_3436;id_creator_6080;id_creator_1432;id_creator_1673;id_creator_5718;id_creator_523;id_creator_2035;id_creator_760;id_creator_5092;id_creator_9239,,,,,3539-3553,2011,,id_journal_84,12,115
